date,rank,place,round,source_kind,manshu_rate_pct,heads,axes,keshi,points,tickets,result,payout,result_manshu,hit,hit_manshu,stake,return,profit,race_id
2026-01-01,10,鳴門,9,recreated,39.66,4-6,4-1,3,15,4-1-5 4-1-6 4-2-1 4-5-1 4-6-1 6-1-2 6-1-4 6-1-5 6-2-1 6-2-4 6-4-1 6-4-2 6-4-5 6-5-1 6-5-4,1-4-2,1400,False,False,False,1500,0,-1500,2026-01-011409
2026-01-09,1,宮島,11,recreated,40.0,5-4,1-3,6,15,4-1-3 4-1-5 4-3-5 4-5-1 4-5-3 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-3-1 5-3-2 5-3-4 5-4-1 5-4-3,2-1-5,25060,True,False,False,1500,0,-1500,2026-01-091711
2026-01-09,9,宮島,9,recreated,39.19,6-5,1-2,4,15,5-1-3 5-1-6 5-2-1 5-2-3 5-2-6 5-3-1 6-1-3 6-1-5 6-2-1 6-2-3 6-2-5 6-3-1 6-3-2 6-5-1 6-5-2,1-5-3,2020,False,False,False,1500,0,-1500,2026-01-091709
2026-01-15,1,芦屋,12,recreated,40.0,6-3,1-4,5,15,3-1-4 3-1-6 3-4-6 3-6-1 3-6-4 6-1-2 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,3-5-6,30660,True,False,False,1500,0,-1500,2026-01-152112
2026-01-15,6,鳴門,9,recreated,39.7,3-5,3-2,6,15,3-2-1 3-2-4 3-2-5 3-4-2 3-5-2 5-1-2 5-1-3 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-3-4 5-4-2 5-4-3,1-3-4,1860,False,False,False,1500,0,-1500,2026-01-151409
2026-01-15,9,鳴門,10,recreated,38.9,4-5,2-4,3,15,4-2-1 4-2-5 4-2-6 4-5-2 4-6-2 5-1-2 5-1-4 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2 5-4-6 5-6-2 5-6-4,1-5-4,2890,False,False,False,1500,0,-1500,2026-01-151410
2026-01-17,6,鳴門,10,recreated,40.0,5-3,1-3,6,15,3-1-4 3-1-5 3-2-1 3-4-1 3-5-1 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-3-1 5-3-2 5-3-4 5-4-1 5-4-3,1-3-4,1070,False,False,False,1500,0,-1500,2026-01-171410
2026-01-21,6,宮島,12,recreated,40.0,4-6,1-2,5,15,4-1-3 4-1-6 4-2-1 4-2-6 4-6-1 4-6-2 6-1-3 6-1-4 6-2-1 6-2-3 6-2-4 6-3-1 6-3-2 6-4-1 6-4-2,1-2-3,1010,False,False,False,1500,0,-1500,2026-01-211712
2026-01-23,1,丸亀,9,recreated,40.0,6-5,6-2,4,15,5-1-6 5-2-1 5-2-3 5-2-6 5-3-2 5-3-6 5-6-1 5-6-2 5-6-3 6-1-2 6-2-1 6-2-3 6-2-5 6-3-2 6-5-2,6-1-3,17970,True,False,False,1500,0,-1500,2026-01-231509
2026-01-23,10,宮島,10,recreated,39.71,3-5,1-2,4,15,3-1-5 3-1-6 3-2-5 3-2-6 3-5-1 3-5-2 3-6-1 3-6-2 5-1-3 5-1-6 5-2-1 5-2-3 5-2-6 5-3-1 5-3-2,3-1-5,2140,False,True,False,1500,2140,640,2026-01-231710
2026-01-27,9,江戸川,12,recreated,35.31,6-3,1-3,5,15,3-1-4 3-1-6 3-2-1 3-4-1 3-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,1-2-5,1360,False,False,False,1500,0,-1500,2026-01-270312
2026-01-28,2,芦屋,10,recreated,40.0,6-5,1-6,4,15,5-1-3 5-1-6 5-2-1 5-2-6 5-3-1 5-3-6 5-6-1 5-6-2 5-6-3 6-1-2 6-1-3 6-1-5 6-2-1 6-3-1 6-5-1,1-4-2,2830,False,False,False,1500,0,-1500,2026-01-282110
2026-01-31,7,児島,10,recreated,40.0,5-3,1-5,6,15,3-1-4 3-1-5 3-2-1 3-2-5 3-4-1 3-4-5 3-5-1 3-5-2 3-5-4 5-1-2 5-1-3 5-1-4 5-2-1 5-3-1 5-4-1,5-3-1,7150,False,True,False,1500,7150,5650,2026-01-311610
2026-02-04,2,宮島,12,recreated,40.0,4-3,1-4,5,15,3-1-4 3-1-6 3-2-1 3-2-4 3-4-1 3-4-2 3-4-6 3-6-1 3-6-4 4-1-2 4-1-3 4-1-6 4-2-1 4-3-1 4-6-1,1-2-4,2290,False,False,False,1500,0,-1500,2026-02-041712
2026-02-06,2,戸田,11,recreated,40.0,5-6,1-4,3,15,5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-4-1 5-4-2 5-4-6 5-6-1 5-6-4 6-1-4 6-1-5 6-4-1 6-4-2 6-4-5,1-5-3,1880,False,False,False,1500,0,-1500,2026-02-060211
2026-02-06,9,丸亀,12,recreated,38.55,4-6,1-3,5,15,4-1-3 4-1-6 4-3-1 4-3-6 4-6-1 4-6-3 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,3-1-2,7610,False,False,False,1500,0,-1500,2026-02-061512
2026-02-11,4,芦屋,12,recreated,40.0,4-3,1-2,6,15,3-1-4 3-1-5 3-2-1 3-2-4 3-2-5 3-5-1 3-5-2 4-1-3 4-1-5 4-2-1 4-2-3 4-2-5 4-3-1 4-5-1 4-5-2,3-2-6,4120,False,False,False,1500,0,-1500,2026-02-112112
2026-02-11,8,児島,10,recreated,40.0,5-6,1-3,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3 6-1-3 6-1-5 6-3-1 6-3-2 6-3-5,1-2-3,1260,False,False,False,1500,0,-1500,2026-02-111610
2026-02-12,9,宮島,10,recreated,40.0,6-3,1-3,4,15,3-1-5 3-1-6 3-2-1 3-5-1 3-6-1 6-1-2 6-1-3 6-1-5 6-2-1 6-2-3 6-3-1 6-3-2 6-3-5 6-5-1 6-5-3,1-2-5,3520,False,False,False,1500,0,-1500,2026-02-121710
2026-02-14,3,芦屋,10,recreated,40.0,5-6,1-5,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-3-1 5-6-1 6-1-3 6-1-5 6-2-1 6-2-5 6-3-1 6-3-5 6-5-1 6-5-2 6-5-3,2-1-3,3670,False,False,False,1500,0,-1500,2026-02-142110
2026-02-14,7,丸亀,10,recreated,40.0,4-5,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 4-6-1 4-6-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2,4-1-2,2150,False,False,False,1500,0,-1500,2026-02-141510
2026-02-14,9,丸亀,9,recreated,39.42,4-3,2-1,6,15,3-1-4 3-1-5 3-2-1 3-2-4 3-2-5 3-5-1 3-5-2 4-1-3 4-1-5 4-2-1 4-2-3 4-2-5 4-3-1 4-5-1 4-5-2,1-4-5,6620,False,False,False,1500,0,-1500,2026-02-141509
2026-02-15,7,宮島,10,recreated,39.69,6-5,1-4,3,15,5-1-4 5-1-6 5-2-1 5-4-1 5-4-2 5-4-6 6-1-4 6-1-5 6-2-1 6-2-4 6-4-1 6-4-2 6-4-5 6-5-1 6-5-4,1-5-4,1590,False,False,False,1500,0,-1500,2026-02-151710
2026-02-16,3,若松,10,recreated,40.0,4-5,1-4,3,15,4-1-5 4-1-6 4-2-1 4-5-1 4-6-1 5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-4-1 5-4-2 5-4-6 5-6-1 5-6-4,2-3-5,10090,True,False,False,1500,0,-1500,2026-02-162010
2026-02-16,10,常滑,9,recreated,38.98,4-3,4-1,6,15,3-1-4 3-1-5 3-2-1 3-2-4 3-4-1 3-4-2 3-4-5 3-5-1 3-5-4 4-1-2 4-1-3 4-1-5 4-2-1 4-3-1 4-5-1,1-6-3,5730,False,False,False,1500,0,-1500,2026-02-160809
2026-02-17,7,常滑,9,recreated,39.88,3-6,2-5,4,15,3-1-5 3-2-5 3-2-6 3-5-1 3-5-2 3-5-6 3-6-2 3-6-5 6-1-5 6-2-1 6-2-3 6-2-5 6-5-1 6-5-2 6-5-3,5-6-3,17500,True,False,False,1500,0,-1500,2026-02-170809
2026-02-17,9,宮島,10,recreated,39.62,4-6,4-1,5,15,4-1-3 4-1-6 4-2-1 4-3-1 4-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,4-5-2,4650,False,False,False,1500,0,-1500,2026-02-171710
2026-02-20,3,宮島,9,recreated,39.82,4-5,4-2,6,15,4-2-1 4-2-3 4-2-5 4-3-2 4-5-2 5-1-2 5-1-4 5-2-1 5-2-3 5-2-4 5-3-2 5-3-4 5-4-1 5-4-2 5-4-3,4-2-1,1500,False,True,False,1500,1500,0,2026-02-201709
2026-02-22,10,丸亀,9,recreated,38.37,3-4,4-1,5,15,3-1-2 3-1-4 3-1-6 3-2-1 3-2-4 3-4-1 3-4-2 3-4-6 3-6-1 3-6-4 4-1-3 4-1-6 4-2-1 4-3-1 4-6-1,4-6-2,52190,True,False,False,1500,0,-1500,2026-02-221509
2026-02-23,4,芦屋,11,recreated,40.0,6-5,1-5,4,15,5-1-3 5-1-6 5-2-1 5-3-1 5-6-1 6-1-2 6-1-3 6-1-5 6-2-1 6-2-5 6-3-1 6-3-5 6-5-1 6-5-2 6-5-3,1-2-5,2160,False,False,False,1500,0,-1500,2026-02-232111
2026-02-25,9,住之江,12,recreated,38.92,5-4,1-6,3,15,4-1-5 4-1-6 4-2-6 4-6-1 4-6-2 4-6-5 5-1-4 5-1-6 5-2-1 5-2-6 5-4-1 5-4-6 5-6-1 5-6-2 5-6-4,1-4-6,2100,False,False,False,1500,0,-1500,2026-02-251212
2026-02-26,1,芦屋,11,recreated,40.0,3-6,1-4,5,15,3-1-4 3-1-6 3-4-1 3-4-6 3-6-1 3-6-4 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,3-1-4,2880,False,True,False,1500,2880,1380,2026-02-262111
2026-02-28,7,大村,10,recreated,38.87,5-4,1-2,6,15,4-1-3 4-1-5 4-2-5 4-5-1 4-5-2 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-4-1 5-4-2,1-2-5,2860,False,False,False,1500,0,-1500,2026-02-282410
2026-03-02,5,芦屋,10,recreated,40.0,5-6,1-2,3,15,5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2 5-6-1 5-6-2 6-1-4 6-1-5 6-2-1 6-2-4 6-2-5,6-2-5,26980,True,True,True,1500,26980,25480,2026-03-022110
2026-03-02,8,徳山,10,recreated,39.43,5-4,2-6,3,15,4-1-6 4-2-5 4-2-6 4-6-1 4-6-2 4-6-5 5-1-6 5-2-1 5-2-4 5-2-6 5-4-2 5-4-6 5-6-1 5-6-2 5-6-4,6-5-2,15540,True,False,False,1500,0,-1500,2026-03-021810
2026-03-08,9,宮島,9,recreated,38.6,6-5,1-3,4,15,5-1-3 5-1-6 5-2-1 5-3-1 5-3-2 5-3-6 6-1-3 6-1-5 6-2-1 6-2-3 6-3-1 6-3-2 6-3-5 6-5-1 6-5-3,1-2-5,810,False,False,False,1500,0,-1500,2026-03-081709
2026-03-10,6,徳山,10,recreated,40.0,3-6,3-6,4,12,3-1-6 3-2-6 3-5-6 3-6-1 3-6-2 3-6-5 6-1-3 6-2-3 6-3-1 6-3-2 6-3-5 6-5-3,3-2-4,2560,False,False,False,1200,0,-1200,2026-03-101810
2026-03-15,7,鳴門,9,recreated,39.92,5-6,5-1,3,15,5-1-2 5-1-4 5-1-6 5-2-1 5-4-1 5-6-1 6-1-4 6-1-5 6-2-1 6-2-5 6-4-1 6-4-5 6-5-1 6-5-2 6-5-4,1-2-5,2160,False,False,False,1500,0,-1500,2026-03-151409
2026-03-17,9,宮島,12,recreated,38.81,6-3,1-3,5,15,3-1-4 3-1-6 3-2-1 3-4-1 3-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,3-1-4,4840,False,True,False,1500,4840,3340,2026-03-171712
2026-03-18,1,鳴門,10,recreated,40.0,3-6,2-3,4,15,3-2-1 3-2-5 3-2-6 3-5-2 3-6-2 6-1-2 6-1-3 6-2-1 6-2-3 6-2-5 6-3-1 6-3-2 6-3-5 6-5-2 6-5-3,2-6-4,6480,False,False,False,1500,0,-1500,2026-03-181410
2026-03-19,1,鳴門,10,recreated,40.0,3-6,2-6,4,15,3-1-6 3-2-1 3-2-5 3-2-6 3-5-2 3-5-6 3-6-1 3-6-2 3-6-5 6-1-2 6-2-1 6-2-3 6-2-5 6-3-2 6-5-2,2-3-6,1050,False,False,False,1500,0,-1500,2026-03-191410
2026-03-24,8,三国,10,recreated,40.0,5-4,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2 5-6-1 5-6-2,4-3-5,16980,True,False,False,1500,0,-1500,2026-03-241010
2026-03-29,4,宮島,9,recreated,40.0,3-6,2-1,5,15,3-1-4 3-1-6 3-2-1 3-2-6 3-6-1 3-6-2 6-1-3 6-1-4 6-2-1 6-2-3 6-2-4 6-3-1 6-3-2 6-4-1 6-4-2,3-2-5,6390,False,False,False,1500,0,-1500,2026-03-291709
2026-04-15,10,戸田,9,recreated,38.81,5-6,5-1,3,15,5-1-2 5-1-4 5-1-6 5-2-1 5-4-1 5-6-1 6-1-4 6-1-5 6-2-1 6-2-5 6-4-1 6-4-5 6-5-1 6-5-2 6-5-4,2-3-6,3320,False,False,False,1500,0,-1500,2026-04-150209
2026-04-17,9,三国,11,recreated,39.21,4-6,1-4,3,15,4-1-5 4-1-6 4-2-1 4-5-1 4-6-1 6-1-2 6-1-4 6-1-5 6-2-1 6-2-4 6-4-1 6-4-2 6-4-5 6-5-1 6-5-4,2-5-4,13160,True,False,False,1500,0,-1500,2026-04-171011
2026-04-22,2,丸亀,11,recreated,40.0,3-6,1-2,5,15,3-1-4 3-1-6 3-2-1 3-2-6 3-6-1 3-6-2 6-1-3 6-1-4 6-2-1 6-2-3 6-2-4 6-3-1 6-3-2 6-4-1 6-4-2,1-2-3,780,False,False,False,1500,0,-1500,2026-04-221511
2026-04-23,6,宮島,11,recreated,40.0,5-3,1-2,6,15,3-1-4 3-1-5 3-2-5 3-5-1 3-5-2 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-4-1 5-4-2,1-2-3,1170,False,False,False,1500,0,-1500,2026-04-231711
2026-04-23,9,若松,10,recreated,39.91,4-5,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 4-6-1 4-6-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2,1-4-2,730,False,False,False,1500,0,-1500,2026-04-232010
2026-04-30,10,芦屋,11,recreated,38.89,5-6,1-5,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-3-1 5-6-1 6-1-3 6-1-5 6-2-1 6-2-5 6-3-1 6-3-5 6-5-1 6-5-2 6-5-3,1-4-2,2050,False,False,False,1500,0,-1500,2026-04-302111
2026-05-05,10,住之江,12,saved,33.79,4-3,1-3,6,15,3-1-4 3-1-5 3-2-1 3-4-1 3-5-1 4-1-2 4-1-3 4-1-5 4-2-1 4-2-3 4-3-1 4-3-2 4-3-5 4-5-1 4-5-3,1-4-3,650,False,False,False,1500,0,-1500,2026-05-051212
2026-05-07,2,丸亀,10,saved,40.0,5-6,1-2,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-2-6 5-3-1 5-3-2 5-6-1 5-6-2 6-1-3 6-1-5 6-2-1 6-2-3 6-2-5,1-5-4,2730,False,False,False,1500,0,-1500,2026-05-071510
2026-05-07,6,徳山,10,saved,34.14,6-5,1-3,4,15,5-1-3 5-1-6 5-2-1 5-3-1 5-3-2 5-3-6 6-1-3 6-1-5 6-2-1 6-2-3 6-3-1 6-3-2 6-3-5 6-5-1 6-5-3,1-6-3,3150,False,False,False,1500,0,-1500,2026-05-071810
2026-05-08,1,丸亀,9,saved,40.0,4-6,1-5,3,15,4-1-5 4-1-6 4-2-5 4-5-1 4-5-2 4-5-6 4-6-1 4-6-5 6-1-4 6-1-5 6-2-1 6-2-5 6-5-1 6-5-2 6-5-4,4-1-6,2270,False,True,False,1500,2270,770,2026-05-081509
2026-05-10,10,鳴門,10,saved,32.14,3-4,3-2,6,15,3-1-2 3-2-1 3-2-4 3-2-5 3-4-2 3-5-2 4-1-3 4-2-1 4-2-3 4-2-5 4-3-1 4-3-2 4-3-5 4-5-2 4-5-3,4-3-5,29260,True,True,True,1500,29260,27760,2026-05-101410
2026-05-11,7,唐津,11,saved,33.64,3-5,1-5,4,15,3-1-5 3-1-6 3-2-1 3-2-5 3-5-1 3-5-2 3-5-6 3-6-1 3-6-5 5-1-2 5-1-3 5-1-6 5-2-1 5-3-1 5-6-1,5-1-3,3210,False,True,False,1500,3210,1710,2026-05-112311
2026-05-12,6,唐津,10,saved,34.14,3-5,3-1,6,15,3-1-4 3-1-5 3-2-1 3-4-1 3-5-1 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-3-1 5-3-2 5-3-4 5-4-1 5-4-3,2-3-1,2670,False,False,False,1500,0,-1500,2026-05-122310
2026-05-16,8,三国,10,saved,33.19,4-6,4-2,5,15,4-2-1 4-2-3 4-2-6 4-3-2 4-6-2 6-1-2 6-1-4 6-2-1 6-2-3 6-2-4 6-3-2 6-3-4 6-4-1 6-4-2 6-4-3,4-2-1,1400,False,True,False,1500,1400,-100,2026-05-161010
2026-05-18,6,芦屋,9,saved,33.14,5-6,1-2,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-2-6 5-3-1 5-3-2 5-6-1 5-6-2 6-1-3 6-1-5 6-2-1 6-2-3 6-2-5,1-2-4,1920,False,False,False,1500,0,-1500,2026-05-182109
2026-05-25,6,大村,12,saved,33.27,4-6,1-4,5,15,4-1-3 4-1-6 4-2-1 4-3-1 4-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,1-3-5,3830,False,False,False,1500,0,-1500,2026-05-252412
2026-05-25,10,住之江,12,saved,32.77,4-6,1-2,5,15,4-1-3 4-1-6 4-2-1 4-2-6 4-6-1 4-6-2 6-1-3 6-1-4 6-2-1 6-2-3 6-2-4 6-3-1 6-3-2 6-4-1 6-4-2,1-3-6,3640,False,False,False,1500,0,-1500,2026-05-251212
2026-05-26,6,丸亀,11,saved,33.04,4-5,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 4-6-1 4-6-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2,1-4-5,1100,False,False,False,1500,0,-1500,2026-05-261511
2026-05-27,6,常滑,12,saved,34.14,5-6,1-3,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3 6-1-3 6-1-5 6-3-1 6-3-2 6-3-5,6-1-3,58170,True,True,True,1500,58170,56670,2026-05-270812
2026-05-27,8,住之江,9,saved,34.14,5-4,1-2,6,15,4-1-3 4-1-5 4-2-5 4-5-1 4-5-2 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-4-1 5-4-2,4-2-5,3910,False,True,False,1500,3910,2410,2026-05-271209
2026-05-28,5,徳山,10,saved,33.94,4-5,4-1,6,15,4-1-3 4-1-5 4-2-1 4-3-1 4-5-1 5-1-2 5-1-3 5-1-4 5-2-1 5-2-4 5-3-1 5-3-4 5-4-1 5-4-2 5-4-3,1-2-6,14900,True,False,False,1500,0,-1500,2026-05-281810
2026-05-28,8,戸田,9,saved,33.04,3-6,3-1,5,15,3-1-4 3-1-6 3-2-1 3-4-1 3-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,2-3-1,1830,False,False,False,1500,0,-1500,2026-05-280209
2026-06-02,3,桐生,10,saved,34.14,4-3,4-1,6,15,3-1-4 3-1-5 3-2-1 3-2-4 3-4-1 3-4-2 3-4-5 3-5-1 3-5-4 4-1-2 4-1-3 4-1-5 4-2-1 4-3-1 4-5-1,3-5-4,33460,True,True,True,1500,33460,31960,2026-06-020110
2026-06-02,5,鳴門,9,saved,34.14,3-4,3-4,5,12,3-1-4 3-2-4 3-4-1 3-4-2 3-4-6 3-6-4 4-1-3 4-2-3 4-3-1 4-3-2 4-3-6 4-6-3,5-4-3,7800,False,False,False,1200,0,-1200,2026-06-021409
2026-06-02,7,唐津,10,saved,34.04,4-3,1-3,6,15,3-1-4 3-1-5 3-2-1 3-4-1 3-5-1 4-1-2 4-1-3 4-1-5 4-2-1 4-2-3 4-3-1 4-3-2 4-3-5 4-5-1 4-5-3,4-2-3,10630,True,True,True,1500,10630,9130,2026-06-022310
2026-06-02,9,鳴門,11,saved,33.44,5-3,1-3,4,15,3-1-5 3-1-6 3-2-1 3-5-1 3-6-1 5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3,1-4-2,4570,False,False,False,1500,0,-1500,2026-06-021411
2026-06-03,3,住之江,11,saved,33.87,3-4,1-3,5,15,3-1-2 3-1-4 3-1-6 3-2-1 3-4-1 3-6-1 4-1-3 4-1-6 4-2-1 4-2-3 4-3-1 4-3-2 4-3-6 4-6-1 4-6-3,1-5-3,3740,False,False,False,1500,0,-1500,2026-06-031211
2026-06-03,6,大村,10,saved,32.96,3-6,1-6,4,15,3-1-5 3-1-6 3-2-1 3-2-6 3-5-1 3-5-6 3-6-1 3-6-2 3-6-5 6-1-2 6-1-3 6-1-5 6-2-1 6-3-1 6-5-1,6-3-1,2760,False,True,False,1500,2760,1260,2026-06-032410
2026-06-03,8,若松,9,saved,32.21,3-6,1-6,4,15,3-1-5 3-1-6 3-2-1 3-2-6 3-5-1 3-5-6 3-6-1 3-6-2 3-6-5 6-1-2 6-1-3 6-1-5 6-2-1 6-3-1 6-5-1,1-6-4,2060,False,False,False,1500,0,-1500,2026-06-032009
2026-06-03,9,下関,10,saved,32.17,5-6,1-4,3,15,5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-4-1 5-4-2 5-4-6 5-6-1 5-6-4 6-1-4 6-1-5 6-4-1 6-4-2 6-4-5,1-3-6,4560,False,False,False,1500,0,-1500,2026-06-031910
2026-06-05,7,常滑,9,saved,33.3,3-5,1-2,4,15,3-1-5 3-1-6 3-2-5 3-2-6 3-5-1 3-5-2 3-6-1 3-6-2 5-1-3 5-1-6 5-2-1 5-2-3 5-2-6 5-3-1 5-3-2,1-3-2,490,False,False,False,1500,0,-1500,2026-06-050809
2026-06-06,10,徳山,11,saved,32.94,5-3,5-3,4,12,3-1-5 3-2-5 3-5-1 3-5-2 3-5-6 3-6-5 5-1-3 5-2-3 5-3-1 5-3-2 5-3-6 5-6-3,3-5-1,4390,False,True,False,1200,4390,3190,2026-06-061811
2026-06-09,2,蒲郡,12,saved,34.04,3-6,1-4,5,15,3-1-4 3-1-6 3-4-1 3-4-6 3-6-1 3-6-4 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,3-1-2,3340,False,False,False,1500,0,-1500,2026-06-090712
2026-06-09,10,蒲郡,11,saved,31.91,4-6,1-4,5,15,4-1-3 4-1-6 4-2-1 4-3-1 4-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-4 6-3-1 6-3-4 6-4-1 6-4-2 6-4-3,1-4-5,1690,False,False,False,1500,0,-1500,2026-06-090711
2026-06-10,2,鳴門,9,saved,37.26,3-4,4-2,5,15,3-1-2 3-1-4 3-2-1 3-2-4 3-2-6 3-4-1 3-4-2 3-4-6 3-6-2 3-6-4 4-2-1 4-2-3 4-2-6 4-3-2 4-6-2,3-2-1,5440,False,True,False,1500,5440,3940,2026-06-101409
2026-06-11,7,唐津,9,saved,33.69,4-5,4-1,3,15,4-1-5 4-1-6 4-2-1 4-5-1 4-6-1 5-1-2 5-1-4 5-1-6 5-2-1 5-2-4 5-4-1 5-4-2 5-4-6 5-6-1 5-6-4,1-5-6,19850,True,False,False,1500,0,-1500,2026-06-112309
2026-06-11,8,丸亀,9,saved,33.29,3-5,3-2,6,15,3-2-1 3-2-4 3-2-5 3-4-2 3-5-2 5-1-2 5-1-3 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-3-4 5-4-2 5-4-3,5-3-2,21950,True,True,True,1500,21950,20450,2026-06-111509
2026-06-12,4,三国,9,saved,33.84,5-3,1-3,4,15,3-1-5 3-1-6 3-2-1 3-5-1 3-6-1 5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3,4-5-3,7510,False,False,False,1500,0,-1500,2026-06-121009
2026-06-15,9,芦屋,12,saved,32.29,4-6,1-3,5,15,4-1-3 4-1-6 4-3-1 4-3-6 4-6-1 4-6-3 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,1-4-5,1260,False,False,False,1500,0,-1500,2026-06-152112
2026-06-17,9,宮島,10,saved,34.14,3-5,1-5,4,15,3-1-5 3-1-6 3-2-1 3-2-5 3-5-1 3-5-2 3-5-6 3-6-1 3-6-5 5-1-2 5-1-3 5-1-6 5-2-1 5-3-1 5-6-1,1-3-5,860,False,False,False,1500,0,-1500,2026-06-171710
2026-06-21,10,下関,11,saved,34.14,4-5,1-3,6,15,4-1-3 4-1-5 4-3-1 4-3-5 4-5-1 4-5-3 5-1-3 5-1-4 5-2-1 5-2-3 5-3-1 5-3-2 5-3-4 5-4-1 5-4-3,1-4-3,1050,False,False,False,1500,0,-1500,2026-06-211911
2026-06-23,7,浜名湖,12,saved,34.14,3-5,1-2,6,15,3-1-4 3-1-5 3-2-1 3-2-5 3-5-1 3-5-2 5-1-3 5-1-4 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-4-1 5-4-2,1-2-6,4570,False,False,False,1500,0,-1500,2026-06-230612
2026-06-23,9,蒲郡,10,saved,34.14,4-5,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 4-6-1 4-6-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2,1-5-4,2920,False,False,False,1500,0,-1500,2026-06-230710
