mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
morning,all,A,14761,24.0,4242,0.2873789038683016,568,0.038479777792832466,0.23471074380165288,1261,0.0854278165435946,0.2847143824791149,5405.733144743046,2650.0,237130,0.6472890273920014,train_to_2026-05-04
morning,all,B,14761,18.0,3005,0.2035769934286295,448,0.03035024727321997,0.18512396694214875,955,0.06469751371858275,0.21562429442312034,5785.5940099833615,2770,182690,0.6543410187506116,train_to_2026-05-04
morning,all,C,14761,12.0,2386,0.16164216516496172,271,0.018359189756791544,0.11198347107438017,646,0.043763972630580586,0.14585685256265524,4855.989103101425,2425.0,138200,0.654110493868979,train_to_2026-05-04
morning,all,D,14761,9.0,1865,0.12634645349231083,216,0.014633154935302487,0.08925619834710743,495,0.03353431339340153,0.1117633777376383,4938.804289544236,2490,237130,0.6933337849739177,train_to_2026-05-04
morning,skip_excluded,A,9403,24.0,2829,0.3008614272040838,375,0.03988088907795385,0.24445893089960888,834,0.08869509730936935,0.2958495920539198,5328.229056203605,2720,182690,0.6679410826332022,train_to_2026-05-04
morning,skip_excluded,B,9403,18.0,2015,0.21429331064553866,298,0.031692013187280654,0.19426336375488917,638,0.06785068595129214,0.2263213905640298,5760.193548387097,2850,182690,0.685761636357191,train_to_2026-05-04
morning,skip_excluded,C,9403,12.0,1595,0.16962671487823036,185,0.019674571945123898,0.12059973924380704,430,0.04573008614272041,0.15253636041149343,4878.789968652038,2430,107140,0.6896442624694247,train_to_2026-05-04
morning,skip_excluded,D,9403,9.0,1258,0.1337870892268425,142,0.015101563330851856,0.09256844850065189,331,0.035201531426140596,0.11741752394466123,4818.513513513513,2565.0,107140,0.716283219303532,train_to_2026-05-04
morning,chaos_top5_per_day,A,500,24.0,145,0.29,30,0.06,0.25862068965517243,67,0.134,0.2851063829787234,6528.9655172413795,4650,41530,0.7889166666666667,train_to_2026-05-04
morning,chaos_top5_per_day,B,500,18.0,100,0.2,23,0.046,0.19827586206896552,50,0.1,0.2127659574468085,7031.2,4940.0,41530,0.7812444444444444,train_to_2026-05-04
morning,chaos_top5_per_day,C,500,12.0,69,0.138,15,0.03,0.12931034482758622,34,0.068,0.14468085106382977,6724.63768115942,4650,41530,0.7733333333333333,train_to_2026-05-04
morning,chaos_top5_per_day,D,500,9.0,70,0.14,11,0.022,0.09482758620689655,26,0.052,0.11063829787234042,5617.0,3800.0,41530,0.8737555555555555,train_to_2026-05-04
morning,chaos_top10_per_day,A,1000,24.0,296,0.296,46,0.046,0.21800947867298578,123,0.123,0.27765237020316025,6026.993243243243,3955.0,83960,0.7433291666666667,train_to_2026-05-04
morning,chaos_top10_per_day,B,1000,18.0,208,0.208,37,0.037,0.17535545023696683,98,0.098,0.22121896162528218,6581.778846153846,4570.0,83960,0.7605611111111111,train_to_2026-05-04
morning,chaos_top10_per_day,C,1000,12.0,148,0.148,23,0.023,0.10900473933649289,63,0.063,0.14221218961625282,6096.824324324324,3765.0,83960,0.7519416666666666,train_to_2026-05-04
morning,chaos_top10_per_day,D,1000,9.0,131,0.131,16,0.016,0.07582938388625593,48,0.048,0.10835214446952596,5577.633587786259,3630,83960,0.8118555555555556,train_to_2026-05-04
morning,all,A,6186,24.0,1788,0.2890397672162949,239,0.03863562883931458,0.2315891472868217,520,0.08406078241189784,0.27455121436114044,5776.219239373601,2620.0,222920,0.6956487768078456,valid_after_2026-05-04
morning,all,B,6186,18.0,1213,0.19608794051083092,172,0.02780472033624313,0.16666666666666666,365,0.059004203039120594,0.19271383315733898,6116.990931574608,2700,222920,0.6663711966088299,valid_after_2026-05-04
morning,all,C,6186,12.0,987,0.15955383123181377,111,0.017943743937924344,0.10755813953488372,251,0.04057549304881992,0.13252375923970433,5249.726443768997,2350,222920,0.698011639185257,valid_after_2026-05-04
morning,all,D,6186,9.0,776,0.12544455221467832,92,0.014872292272874232,0.08914728682170543,204,0.03297769156159069,0.10770855332629356,5460.4639175257735,2610.0,222920,0.7610949455760319,valid_after_2026-05-04
morning,skip_excluded,A,3965,24.0,1190,0.30012610340479196,150,0.03783102143757881,0.2245508982035928,350,0.08827238335435057,0.28501628664495116,5586.302521008403,2705.0,222920,0.6985813366960908,valid_after_2026-05-04
morning,skip_excluded,B,3965,18.0,803,0.2025220680958386,114,0.0287515762925599,0.17065868263473055,251,0.06330390920554856,0.20439739413680783,6101.008717310087,2800,222920,0.6864382793890991,valid_after_2026-05-04
morning,skip_excluded,C,3965,12.0,649,0.16368221941992434,73,0.01841109709962169,0.1092814371257485,172,0.04337957124842371,0.14006514657980457,5254.453004622496,2440,222920,0.7167171080285835,valid_after_2026-05-04
morning,skip_excluded,D,3965,9.0,507,0.12786885245901639,55,0.013871374527112233,0.08233532934131736,138,0.03480453972257251,0.11237785016286644,5347.218934911242,2690,222920,0.759714165615805,valid_after_2026-05-04
morning,chaos_top5_per_day,A,215,24.0,54,0.25116279069767444,7,0.03255813953488372,0.14893617021276595,24,0.11162790697674418,0.25263157894736843,6859.259259259259,4105.0,44890,0.7178294573643411,valid_after_2026-05-04
morning,chaos_top5_per_day,B,215,18.0,33,0.15348837209302327,6,0.027906976744186046,0.1276595744680851,19,0.08837209302325581,0.2,8674.848484848484,5710,44890,0.7397157622739018,valid_after_2026-05-04
morning,chaos_top5_per_day,C,215,12.0,28,0.13023255813953488,5,0.023255813953488372,0.10638297872340426,16,0.07441860465116279,0.16842105263157894,9238.57142857143,6040.0,44890,1.0026356589147287,valid_after_2026-05-04
morning,chaos_top5_per_day,D,215,9.0,21,0.09767441860465116,2,0.009302325581395349,0.0425531914893617,7,0.03255813953488372,0.07368421052631578,5564.761904761905,4000,21270,0.6039276485788113,valid_after_2026-05-04
morning,chaos_top10_per_day,A,430,24.0,116,0.26976744186046514,21,0.04883720930232558,0.22826086956521738,47,0.10930232558139535,0.26704545454545453,7038.879310344828,3825.0,44890,0.7911918604651162,valid_after_2026-05-04
morning,chaos_top10_per_day,B,430,18.0,72,0.16744186046511628,15,0.03488372093023256,0.16304347826086957,33,0.07674418604651163,0.1875,7900.138888888889,4395.0,44890,0.7348966408268733,valid_after_2026-05-04
morning,chaos_top10_per_day,C,430,12.0,58,0.13488372093023257,9,0.020930232558139535,0.09782608695652174,24,0.05581395348837209,0.13636363636363635,6859.482758620689,4130.0,44890,0.7710271317829457,valid_after_2026-05-04
morning,chaos_top10_per_day,D,430,9.0,46,0.10697674418604651,5,0.011627906976744186,0.05434782608695652,13,0.030232558139534883,0.07386363636363637,5444.782608695652,3215.0,21270,0.6471834625322997,valid_after_2026-05-04
preview,all,A,14761,24.0,5030,0.3407628209470903,546,0.03698936386423684,0.2256198347107438,1268,0.08590203915723867,0.2862948746895462,4701.580516898608,2200.0,237130,0.6675515999367703,train_to_2026-05-04
preview,all,B,14761,18.0,3472,0.23521441636745477,415,0.028114626380326538,0.17148760330578514,927,0.0628006232640065,0.20930232558139536,5093.548387096775,2310.0,237130,0.6655977839501991,train_to_2026-05-04
preview,all,C,14761,12.0,2699,0.18284669060361763,273,0.01849468193211842,0.1128099173553719,624,0.04227355870198496,0.1408895913298713,4588.614301593183,2050,237130,0.6991774495856198,train_to_2026-05-04
preview,all,D,14761,9.0,2230,0.1510737754894655,212,0.014362170584648736,0.08760330578512397,529,0.0358376803739584,0.11944005418830436,4413.914798206278,2155.0,237130,0.7409186369487162,train_to_2026-05-04
preview,skip_excluded,A,10279,24.0,3622,0.3523689074812725,373,0.03628757661251095,0.22442839951865223,890,0.08658429808347115,0.2916120576671035,4521.57923799006,2190.0,142250,0.6638599734085676,train_to_2026-05-04
preview,skip_excluded,B,10279,18.0,2511,0.24428446346920907,287,0.027921003988714856,0.1726835138387485,657,0.06391672341667477,0.2152686762778506,4884.735165272799,2300,142250,0.662924949465469,train_to_2026-05-04
preview,skip_excluded,C,10279,12.0,1925,0.18727502675357524,185,0.01799785971397996,0.11131167268351384,436,0.042416577488082495,0.14285714285714285,4358.218181818182,2010,142250,0.6801545221649318,train_to_2026-05-04
preview,skip_excluded,D,10279,9.0,1595,0.15517073645296234,147,0.014301002043000293,0.08844765342960288,369,0.035898433699776244,0.1209043250327654,4222.796238244514,2110,107140,0.7280604468657781,train_to_2026-05-04
preview,chaos_top5_per_day,A,500,24.0,142,0.284,27,0.054,0.23275862068965517,65,0.13,0.2765957446808511,6314.718309859155,4365.0,38410,0.7472416666666667,train_to_2026-05-04
preview,chaos_top5_per_day,B,500,18.0,95,0.19,21,0.042,0.1810344827586207,48,0.096,0.20425531914893616,7004.315789473684,5060,38410,0.7393444444444445,train_to_2026-05-04
preview,chaos_top5_per_day,C,500,12.0,65,0.13,15,0.03,0.12931034482758622,32,0.064,0.13617021276595745,6623.538461538462,4810,38410,0.71755,train_to_2026-05-04
preview,chaos_top5_per_day,D,500,9.0,72,0.144,14,0.028,0.1206896551724138,30,0.06,0.1276595744680851,6072.638888888889,4165.0,38410,0.9716222222222223,train_to_2026-05-04
preview,chaos_top10_per_day,A,1000,24.0,284,0.284,37,0.037,0.17535545023696683,107,0.107,0.24153498871331827,5281.901408450704,3530.0,38410,0.625025,train_to_2026-05-04
preview,chaos_top10_per_day,B,1000,18.0,194,0.194,28,0.028,0.13270142180094788,82,0.082,0.18510158013544017,5794.072164948454,3980.0,38410,0.6244722222222222,train_to_2026-05-04
preview,chaos_top10_per_day,C,1000,12.0,137,0.137,19,0.019,0.09004739336492891,54,0.054,0.12189616252821671,5191.021897810219,3450,38410,0.5926416666666666,train_to_2026-05-04
preview,chaos_top10_per_day,D,1000,9.0,137,0.137,18,0.018,0.08530805687203792,47,0.047,0.10609480812641084,4962.116788321168,3320,38410,0.7553444444444445,train_to_2026-05-04
preview,all,A,6186,24.0,2077,0.335758163595215,226,0.03653410927901714,0.2189922480620155,509,0.08228257355318461,0.26874340021119325,5073.818006740491,2190,222920,0.7098232568164673,valid_after_2026-05-04
preview,all,B,6186,18.0,1382,0.22340769479469771,168,0.027158098933074686,0.16279069767441862,353,0.05706433882961526,0.1863780359028511,5602.7134587554265,2295.0,222920,0.6953829435643208,valid_after_2026-05-04
preview,all,C,6186,12.0,1099,0.17765923052053023,114,0.01842870999030068,0.11046511627906977,250,0.0404138376980278,0.13199577613516367,4894.522292993631,2110,222920,0.7246308869490247,valid_after_2026-05-04
preview,all,D,6186,9.0,918,0.1483996120271581,75,0.01212415130940834,0.07267441860465117,191,0.030876172001293244,0.10084477296726505,4461.492374727669,2135.0,222920,0.7356485971907892,valid_after_2026-05-04
preview,skip_excluded,A,4335,24.0,1481,0.3416378316032295,154,0.03552479815455594,0.21508379888268156,368,0.08489042675893888,0.2796352583586626,4821.890614449696,2240,222920,0.6863917723952326,valid_after_2026-05-04
preview,skip_excluded,B,4335,18.0,993,0.2290657439446367,123,0.02837370242214533,0.1717877094972067,266,0.061361014994232986,0.20212765957446807,5456.777442094663,2390,222920,0.6944226579520697,valid_after_2026-05-04
preview,skip_excluded,C,4335,12.0,783,0.1806228373702422,83,0.01914648212226067,0.11592178770949721,188,0.0433679354094579,0.14285714285714285,4824.3805874840355,2180,222920,0.7261610918877355,valid_after_2026-05-04
preview,skip_excluded,D,4335,9.0,654,0.1508650519031142,46,0.01061130334486736,0.06424581005586592,138,0.03183391003460208,0.10486322188449848,4290.993883792049,2225.0,222920,0.7192900166602588,valid_after_2026-05-04
preview,chaos_top5_per_day,A,215,24.0,55,0.2558139534883721,4,0.018604651162790697,0.0851063829787234,16,0.07441860465116279,0.16842105263157894,4401.454545454545,2730,22410,0.4691472868217054,valid_after_2026-05-04
preview,chaos_top5_per_day,B,215,18.0,33,0.15348837209302327,4,0.018604651162790697,0.0851063829787234,11,0.05116279069767442,0.11578947368421053,5138.787878787879,2730,22410,0.43819121447028425,valid_after_2026-05-04
preview,chaos_top5_per_day,C,215,12.0,26,0.12093023255813953,2,0.009302325581395349,0.0425531914893617,7,0.03255813953488372,0.07368421052631578,4637.692307692308,2510.0,22410,0.4673643410852713,valid_after_2026-05-04
preview,chaos_top5_per_day,D,215,9.0,23,0.10697674418604651,0,0.0,0.0,5,0.023255813953488372,0.05263157894736842,3688.2608695652175,3010,9610,0.4383979328165375,valid_after_2026-05-04
preview,chaos_top10_per_day,A,430,24.0,118,0.2744186046511628,15,0.03488372093023256,0.16304347826086957,35,0.08139534883720931,0.19886363636363635,5343.050847457627,2935.0,35720,0.6109302325581395,valid_after_2026-05-04
preview,chaos_top10_per_day,B,430,18.0,75,0.1744186046511628,15,0.03488372093023256,0.16304347826086957,25,0.05813953488372093,0.14204545454545456,6435.6,3040,35720,0.6236046511627907,valid_after_2026-05-04
preview,chaos_top10_per_day,C,430,12.0,55,0.12790697674418605,7,0.01627906976744186,0.07608695652173914,15,0.03488372093023256,0.08522727272727272,4861.090909090909,2740,22410,0.5181395348837209,valid_after_2026-05-04
preview,chaos_top10_per_day,D,430,9.0,46,0.10697674418604651,3,0.0069767441860465115,0.03260869565217391,10,0.023255813953488372,0.056818181818181816,4058.2608695652175,2855.0,19450,0.48237726098191214,valid_after_2026-05-04
